0	ENST00000308604.5
1	ENST00000313807.4
2	ENST00000314957.3
3	ENST00000318291.4
4	ENST00000326677.9
5	ENST00000331944.10
6	ENST00000333145.9
7	ENST00000340301.5
8	ENST00000358073.2
9	ENST00000358772.8
10	ENST00000366187.2
11	ENST00000366234.7
12	ENST00000377680.3
13	ENST00000379640.1
14	ENST00000382215.3
15	ENST00000382265.3
16	ENST00000382313.2
17	ENST00000383038.7
18	ENST00000389897.3
19	ENST00000394742.3
20	ENST00000396588.6
21	ENST00000398216.2
22	ENST00000398460.3
23	ENST00000398461.5
24	ENST00000398474.7
25	ENST00000398804.7
26	ENST00000399247.6
27	ENST00000399543.1
28	ENST00000400282.6
29	ENST00000400353.6
30	ENST00000400436.6
31	ENST00000409898.2
32	ENST00000411429.5
33	ENST00000411670.5
34	ENST00000411721.1
35	ENST00000411804.1
36	ENST00000411861.5
37	ENST00000412059.5
38	ENST00000412067.1
39	ENST00000412162.1
40	ENST00000412224.6
41	ENST00000412297.1
42	ENST00000412393.5
43	ENST00000412426.5
44	ENST00000412497.1
45	ENST00000412730.1
46	ENST00000412740.6
47	ENST00000412749.1
48	ENST00000412751.5
49	ENST00000412788.5
50	ENST00000412855.2
51	ENST00000412882.5
52	ENST00000412946.6
53	ENST00000413069.5
54	ENST00000413148.1
55	ENST00000413202.1
56	ENST00000413238.1
57	ENST00000413421.5
58	ENST00000413436.5
59	ENST00000413531.5
60	ENST00000413606.5
61	ENST00000413665.5
62	ENST00000413706.1
63	ENST00000413721.5
64	ENST00000413768.5
65	ENST00000413791.5
66	ENST00000413911.1
67	ENST00000413961.5
68	ENST00000414075.5
69	ENST00000414142.5
70	ENST00000414156.1
71	ENST00000414175.1
72	ENST00000414227.1
73	ENST00000414256.5
74	ENST00000414282.5
75	ENST00000414393.5
76	ENST00000414430.5
77	ENST00000414529.5
78	ENST00000414600.1
79	ENST00000414603.1
80	ENST00000414659.5
81	ENST00000414722.5
82	ENST00000414763.1
83	ENST00000414894.1
84	ENST00000415060.6
85	ENST00000415124.1
86	ENST00000415150.5
87	ENST00000415215.1
88	ENST00000415222.5
89	ENST00000415236.1
90	ENST00000415244.1
91	ENST00000415295.1
92	ENST00000415386.2
93	ENST00000415499.5
94	ENST00000415513.1
95	ENST00000415536.5
96	ENST00000415561.1
97	ENST00000415640.1
98	ENST00000415742.5
99	ENST00000415780.1
100	ENST00000416066.1
101	ENST00000416099.1
102	ENST00000416204.1
103	ENST00000416218.1
104	ENST00000416329.5
105	ENST00000416366.1
106	ENST00000416381.1
107	ENST00000416463.1
108	ENST00000416506.5
109	ENST00000416572.1
110	ENST00000416952.5
111	ENST00000416999.1
112	ENST00000417026.1
113	ENST00000417032.1
114	ENST00000417083.1
115	ENST00000417232.6
116	ENST00000417273.1
117	ENST00000417557.1
118	ENST00000417691.1
119	ENST00000417704.5
120	ENST00000417705.1
121	ENST00000417721.5
122	ENST00000417765.1
123	ENST00000417897.1
124	ENST00000417942.5
125	ENST00000418062.1
126	ENST00000418149.1
127	ENST00000418300.1
128	ENST00000418430.1
129	ENST00000418442.1
130	ENST00000418516.1
131	ENST00000418546.1
132	ENST00000418564.5
133	ENST00000418818.6
134	ENST00000418918.5
135	ENST00000418954.2
136	ENST00000419237.1
137	ENST00000419253.1
138	ENST00000419400.1
139	ENST00000419458.1
140	ENST00000419666.2
141	ENST00000419680.6
142	ENST00000419695.1
143	ENST00000419697.1
144	ENST00000419736.5
145	ENST00000419746.5
146	ENST00000419905.5
147	ENST00000420006.5
148	ENST00000420074.1
149	ENST00000420226.1
150	ENST00000420279.5
151	ENST00000420335.5
152	ENST00000420350.1
153	ENST00000420424.1
154	ENST00000420459.5
155	ENST00000420471.5
156	ENST00000420472.1
157	ENST00000420503.1
158	ENST00000420644.1
159	ENST00000420651.2
160	ENST00000420672.1
161	ENST00000420707.5
162	ENST00000420819.2
163	ENST00000421019.1
164	ENST00000421068.5
165	ENST00000421206.1
166	ENST00000421253.1
167	ENST00000421255.5
168	ENST00000421257.1
169	ENST00000421310.5
170	ENST00000421500.1
171	ENST00000421538.1
172	ENST00000421599.5
173	ENST00000421648.1
174	ENST00000421733.1
175	ENST00000421758.5
176	ENST00000421767.1
177	ENST00000421829.1
178	ENST00000421843.5
179	ENST00000421927.1
180	ENST00000422008.5
181	ENST00000422059.5
182	ENST00000422183.5
183	ENST00000422207.5
184	ENST00000422230.1
185	ENST00000422403.5
186	ENST00000422740.1
187	ENST00000422761.1
188	ENST00000422961.5
189	ENST00000423031.1
190	ENST00000423178.6
191	ENST00000423255.5
192	ENST00000423402.5
193	ENST00000423419.1
194	ENST00000423473.6
195	ENST00000423704.1
196	ENST00000423999.2
197	ENST00000424148.1
198	ENST00000424205.1
199	ENST00000424208.5
200	ENST00000424235.1
201	ENST00000424371.2
202	ENST00000424477.5
203	ENST00000424516.1
204	ENST00000424517.3
205	ENST00000424518.5
206	ENST00000424730.5
207	ENST00000424769.1
208	ENST00000425005.5
209	ENST00000425109.2
210	ENST00000425112.1
211	ENST00000425333.5
212	ENST00000425358.2
213	ENST00000425438.1
214	ENST00000425476.5
215	ENST00000425481.1
216	ENST00000425586.5
217	ENST00000425595.5
218	ENST00000425653.1
219	ENST00000425727.1
220	ENST00000425771.5
221	ENST00000425884.5
222	ENST00000425991.1
223	ENST00000426083.5
224	ENST00000426528.5
225	ENST00000426529.6
226	ENST00000426942.5
227	ENST00000426962.1
228	ENST00000427022.1
229	ENST00000427154.1
230	ENST00000427213.5
231	ENST00000427300.1
232	ENST00000427306.2
233	ENST00000427348.5
234	ENST00000427447.5
235	ENST00000427458.1
236	ENST00000427644.1
237	ENST00000427669.5
238	ENST00000427691.5
239	ENST00000427794.1
240	ENST00000427820.1
241	ENST00000427846.1
242	ENST00000427868.6
243	ENST00000428029.6
244	ENST00000428044.5
245	ENST00000428100.1
246	ENST00000428584.5
247	ENST00000428641.1
248	ENST00000428772.5
249	ENST00000428777.1
